platform,video_id,video_title,video_views,channel_title,comment_id,parent_id,author,text,likes,published_at,updated_at,is_reply,collected_at,hashtag_query
YouTube,aPjQ0PivVhg,Tecno Spark Go1 VS Go2,1285192,TechGuru,UgwYdqgX6iM11M2NGBl4AaABAg,,@MuhammadUsama-g7z,Parric Kiya hy,1,2025-12-05T05:55:10Z,2025-12-05T05:55:10Z,False,2025-12-09T19:05:31.630635,#tecno
YouTube,aPjQ0PivVhg,Tecno Spark Go1 VS Go2,1285192,TechGuru,UgwYdqgX6iM11M2NGBl4AaABAg.AQLEcBZImbwAQMNnmEwMdC,UgwYdqgX6iM11M2NGBl4AaABAg,@techguruwithyou,8k,0,2025-12-05T16:34:38Z,2025-12-05T16:34:38Z,True,2025-12-09T19:05:31.630691,#tecno
YouTube,aPjQ0PivVhg,Tecno Spark Go1 VS Go2,1285192,TechGuru,UgwVZ_O0X5r0q8PKE354AaABAg,,@ShangaXareb,I have the blue one😊,0,2025-11-30T12:12:00Z,2025-11-30T12:12:00Z,False,2025-12-09T19:05:31.630702,#tecno
YouTube,aPjQ0PivVhg,Tecno Spark Go1 VS Go2,1285192,TechGuru,UgxOQzYXdwbGOlkg7Td4AaABAg,,@SanidulSanidul123-q6q,My mobile sem Techno,1,2025-11-26T16:25:43Z,2025-11-26T16:25:43Z,False,2025-12-09T19:05:31.630712,#tecno
YouTube,aPjQ0PivVhg,Tecno Spark Go1 VS Go2,1285192,TechGuru,UgxOQzYXdwbGOlkg7Td4AaABAg.AQ-BcdBJ1vqAQ-GaUjsxRR,UgxOQzYXdwbGOlkg7Td4AaABAg,@techguruwithyou,Good,0,2025-11-26T17:09:07Z,2025-11-26T17:09:07Z,True,2025-12-09T19:05:31.630721,#tecno
